epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,66.8163,1.22842,0.80029,1.59573,1,0.99818,0.995,0.73193,1.08517,0.69258,1.62109,0.0010694,0.0010694,0.0010694
49,67.9001,1.19835,0.78645,1.62301,0.97322,1,0.99451,0.75167,0.99304,0.66245,1.54589,0.0010496,0.0010496,0.0010496
50,68.9668,1.21929,0.97881,1.69251,0.97551,0.99584,0.99329,0.71354,1.1476,0.68213,1.59174,0.0010298,0.0010298,0.0010298
51,70.0931,1.33864,0.89437,1.73319,0.97325,1,0.99256,0.72927,1.06037,0.65344,1.54074,0.00101,0.00101,0.00101
52,71.1996,1.18133,0.77807,1.60838,0.97184,1,0.99134,0.76227,0.99714,0.65831,1.53152,0.0009902,0.0009902,0.0009902
53,72.3518,1.16539,0.74979,1.4924,0.97159,1,0.99256,0.76559,0.97465,0.6393,1.52737,0.0009704,0.0009704,0.0009704
54,73.5615,1.26939,0.88062,1.72652,0.97982,1,0.995,0.71678,1.08145,0.72457,1.62037,0.0009506,0.0009506,0.0009506
55,74.6541,1.24591,0.89756,1.70354,0.99266,1,0.995,0.70991,1.11203,0.85767,1.63777,0.0009308,0.0009308,0.0009308
56,76.2494,1.17213,0.78645,1.49034,0.99357,1,0.995,0.70333,1.08986,0.84177,1.59948,0.000911,0.000911,0.000911
57,78.0986,1.24106,0.79165,1.61466,0.99549,1,0.995,0.71648,1.09664,0.6681,1.57767,0.0008912,0.0008912,0.0008912
58,79.4759,1.23434,0.79519,1.61142,0.99179,1,0.995,0.7218,1.02983,0.61606,1.52755,0.0008714,0.0008714,0.0008714
59,80.5529,1.10318,0.68252,1.48065,0.99531,1,0.995,0.74133,1.02546,0.60636,1.52685,0.0008516,0.0008516,0.0008516
60,81.6761,1.34984,0.96397,1.86071,0.99853,1,0.995,0.73008,1.03521,0.61116,1.53999,0.0008318,0.0008318,0.0008318
